"bill","dateOfDine","comments","response","ip_addr","source","timestamp","cleanliness_rating","satisfaction_rating","recommendation_rating","restaurant_name","email","store_number","telephone","address","city","state","zip","lat","lon"
"85.4","2010-02-26","Excellent service with attention to healthy dining",\N,"0.0.0.0","unknown","2010-03-26 21:06:32","90","100","100","Olive Garden","yourname@address.com","1411","3035466506","2685 Pearl Street","Boulder","CO","80302","40.022494","-105.260194"
"29.00","2010-02-17","",\N,"0.0.0.0","unknown","2010-03-26 21:04:13","90","90","90","Dollys Produce Patch",\N,"","2399928939","9930 Bonita Beach Rd","Bonita Springs","FL","34135","26.3310816","-81.787296"
"21.97","2010-03-09","",\N,"0.0.0.0","unknown","2010-03-26 21:01:32","90","90","90","Paradise Bakery",\N,"610016","4804239233","7014-565 E. Camelback Rd.","Scottsdale","AZ","85251","33.503323","-111.9284569"
"9.64","2010-02-26","Cook was not wearing gloves. She was asked why not when other cooks were. She responded that she had just washed her hands and proceeded to make our salad touching the inside of the bowl.",\N,"0.0.0.0","unknown","2010-03-26 20:58:27","80","88","88","Modmarket",\N,"1212","3032516284","1600 28th Street","Boulder","CO","80301","40.016049","-105.257261"
"140.98","2010-03-25","Great setting. Wait staff did a great job maintaining cleanliness. Very good service. Pricey.",\N,"0.0.0.0","unknown","2011-04-14 02:17:22","90","96","90","Bay House Restaurant",\N,"","2395913837","799 Walkerbilt Road","Naples","FL","34110","26.280883","-81.803826"
"125.05","2010-03-22","Waitress continually touched drinking lip of glass. Cooks and servers touched food without gloves. Cook was drinking soda at work station.",\N,"0.0.0.0","unknown","2010-04-11 07:22:37","80","80","80","Blue Water Bistro",\N,"","2399492583","23151 Village Shops Way","Estero","FL","33926","26.438136","-81.8067523"
"40.84","2010-03-18","Poor customer service. I called ahead to make a reservation. Told I didn't need one. Arrived and was told they couldn't take us. After insistence we were seated but served after others.",\N,"0.0.0.0","unknown","2010-03-26 18:13:55","90","80","80","Water's Edge",\N,"","4808163515","13014 N Saguaro Blvd","Fountain Hills","AZ","85268","33.604875","-111.715092"
"66.25","2010-03-20","Nice Atmosphere. Excellent Service. Food Choices somewhat on the greasy side.",\N,"0.0.0.0","unknown","2010-03-26 18:02:59","85","85","85","Firepit",\N,"","2394667700","Gulf Coast Town Center","Estero","FL","33913","26.4881499","-81.7882712"
"30.61","2010-03-18","I noted that the restaurant staff were wearing gloves while cooking>",\N,"0.0.0.0","unknown","2010-03-18 18:32:01","89","89","89","Lakeshore Restaurant at Saguaro Lake",\N,"","4809845311","14011 N  Bush Highway","Mesa","AZ","85215","33.5113583","-111.6838988"
"53.06","2010-03-12","Excellent sole dish. Leftovers caused diarrhea the next day",\N,"0.0.0.0","unknown","2010-03-18 18:44:56","90","85","85","Romano's Macaroni Grill",\N,"","4805966676","7245 East Gold Dust Avenue","Scottsdale","AZ","85258","33.5092103","-111.8990327"
